record_id	month	day	year	plot_id	species_id	sex	hindfoot_length	weight
63	8	19	1977	3	DM	M	35	40
64	8	19	1977	7	DM	M	37	48
65	8	19	1977	4	DM	F	34	29
66	8	19	1977	4	DM	F	35	46
67	8	19	1977	7	DM	M	35	36
68	8	19	1977	8	DO	F	32	52
69	8	19	1977	2	PF	M	15	8
70	8	19	1977	3	OX	F	21	22
71	8	19	1977	7	DM	F	36	35
74	8	19	1977	8	PF	M	12	7
75	8	19	1977	8	DM	F	32	22
78	8	19	1977	1	PF	M	16	9
79	8	19	1977	7	DM	F	34	42
81	8	19	1977	4	PF	F	14	8
82	8	19	1977	4	DM	F	35	41
83	8	20	1977	6	DM	F	37	37
84	8	20	1977	19	DM	F	35	43
85	8	20	1977	23	DM	F	35	41
86	8	20	1977	18	DM	F	33	40
87	8	20	1977	5	PF	F	11	9
88	8	20	1977	18	DM	F	35	45
89	8	20	1977	12	PP	F	20	15
90	8	20	1977	18	DM	M	35	29
92	8	20	1977	6	DM	M	35	39
93	8	20	1977	18	DM	Null	Null	42
94	8	20	1977	18	DM	F	36	43
95	8	20	1977	23	DM	M	38	46
96	8	20	1977	12	DM	M	36	41
97	8	20	1977	18	DM	M	36	41
98	8	20	1977	5	DM	M	38	40
99	8	20	1977	11	DM	M	37	45
101	8	20	1977	5	DM	F	35	46
102	8	20	1977	23	DM	F	35	40
103	8	20	1977	18	DM	F	35	30
105	8	20	1977	19	DM	M	35	39
109	8	20	1977	6	DM	M	35	34
111	8	20	1977	11	DM	F	37	42
112	8	20	1977	23	DM	M	37	42
113	8	20	1977	5	PF	F	13	8
116	8	21	1977	13	DM	F	37	31
146	8	21	1977	13	DM	F	36	40
157	9	11	1977	20	DM	M	36	37
158	9	11	1977	22	DM	M	36	48
161	9	11	1977	5	DM	M	37	42
162	9	11	1977	6	DM	F	39	45
163	9	11	1977	12	PP	F	21	16
164	9	11	1977	22	DM	F	36	36
167	9	11	1977	6	DM	M	36	42
168	9	11	1977	12	DM	M	36	44
170	9	11	1977	20	DM	F	36	41
172	9	11	1977	22	PF	F	Null	8
173	9	11	1977	12	DM	F	36	40
