x	y	R	G	B	A	attr
0	0	0	0	0	243	0
1	0	0	0	0	255	0
2	0	0	0	0	255	0
3	0	0	0	0	255	0
4	0	0	0	0	255	0
5	0	0	0	0	255	0
6	0	0	0	0	147	0
7	0	0	0	0	0	0
8	0	0	0	0	0	0
9	0	0	0	0	0	0
10	0	0	0	0	0	0
11	0	0	0	0	0	0
12	0	0	0	0	0	0
13	0	0	0	0	0	0
14	0	0	0	0	0	0
15	0	0	0	0	0	0
16	0	0	0	0	0	0
17	0	0	0	0	0	0
18	0	0	0	0	0	0
19	0	0	0	0	29	0
20	0	0	0	0	240	0
21	0	0	0	0	255	0
22	0	0	0	0	255	0
23	0	0	0	0	255	0
24	0	0	0	0	255	0
25	0	0	0	0	255	0
26	0	0	0	0	255	0
27	0	0	0	0	237	0
28	0	0	0	0	26	0
29	0	0	0	0	220	0
30	0	0	0	0	255	0
31	0	0	0	0	255	0
32	0	0	0	0	255	0
33	0	0	0	0	255	0
34	0	0	0	0	255	0
35	0	0	0	0	255	0
36	0	0	0	0	71	0
37	0	0	0	0	0	0
38	0	0	0	0	0	0
39	0	0	0	0	0	0
40	0	0	0	0	40	0
41	0	0	0	0	180	0
42	0	0	0	0	255	0
43	0	0	0	0	255	0
44	0	0	0	0	255	0
45	0	0	0	0	255	0
46	0	0	0	0	255	0
47	0	0	0	0	255	0
48	0	0	0	0	255	0
49	0	0	0	0	255	0
50	0	0	0	0	255	0
51	0	0	0	0	255	0
52	0	0	0	0	255	0
53	0	0	0	0	255	0
54	0	0	0	0	255	0
55	0	0	0	0	255	0
56	0	0	0	0	255	0
57	0	0	0	0	255	0
58	0	0	0	0	98	0
59	0	0	0	0	0	0
60	0	0	0	0	26	0
61	0	0	0	0	255	0
62	0	0	0	0	255	0
63	0	0	0	0	255	0
64	0	0	0	0	255	0
65	0	0	0	0	255	0
66	0	0	0	0	255	0
67	0	0	0	0	255	0
68	0	0	0	0	149	0
69	0	0	0	0	0	0
70	0	0	0	0	16	0
71	0	0	0	0	250	0
72	0	0	0	0	255	0
73	0	0	0	0	255	0
74	0	0	0	0	255	0
75	0	0	0	0	255	0
76	0	0	0	0	255	0
77	0	0	0	0	255	0
78	0	0	0	0	255	0
79	0	0	0	0	255	0
80	0	0	0	0	255	0
81	0	0	0	0	255	0
82	0	0	0	0	255	0
83	0	0	0	0	255	0
84	0	0	0	0	255	0
85	0	0	0	0	255	0
86	0	0	0	0	255	0
87	0	0	0	0	255	0
88	0	0	0	0	255	0
89	0	0	0	0	255	0
90	0	0	0	0	244	0
91	0	0	0	0	53	0
92	0	0	0	0	0	0
93	0	0	0	0	0	0
94	0	0	0	0	0	0
95	0	0	0	0	0	0
96	0	0	0	0	0	0
97	0	0	0	0	0	0
98	0	0	0	0	0	0
99	0	0	0	0	0	0
100	0	0	0	0	157	0
101	0	0	0	0	255	0
102	0	0	0	0	255	0
103	0	0	0	0	255	0
104	0	0	0	0	255	0
105	0	0	0	0	255	0
106	0	0	0	0	255	0
107	0	0	0	0	255	0
108	0	0	0	0	197	0
109	0	0	0	0	0	0
110	0	0	0	0	0	0
111	0	0	0	0	0	0
112	0	0	0	0	0	0
113	0	0	0	0	27	0
114	0	0	0	0	254	0
115	0	0	0	0	255	0
116	0	0	0	0	255	0
117	0	0	0	0	255	0
118	0	0	0	0	255	0
119	0	0	0	0	255	0
120	0	0	0	0	255	0
121	0	0	0	0	255	0
122	0	0	0	0	255	0
123	0	0	0	0	255	0
124	0	0	0	0	255	0
125	0	0	0	0	255	0
126	0	0	0	0	255	0
127	0	0	0	0	255	0
128	0	0	0	0	255	0
129	0	0	0	0	255	0
130	0	0	0	0	255	0
131	0	0	0	0	255	0
132	0	0	0	0	255	0
133	0	0	0	0	255	0
134	0	0	0	0	39	0
135	0	0	0	0	0	0
136	0	0	0	0	0	0
137	0	0	0	0	0	0
138	0	0	0	0	151	0
139	0	0	0	0	255	0
140	0	0	0	0	255	0
141	0	0	0	0	255	0
142	0	0	0	0	255	0
143	0	0	0	0	255	0
144	0	0	0	0	255	0
145	0	0	0	0	255	0
146	0	0	0	0	203	0
147	0	0	0	0	0	0
148	0	0	0	0	0	0
149	0	0	0	0	0	0
0	1	0	0	0	216	0
1	1	0	0	0	255	0
2	1	0	0	0	255	0
3	1	0	0	0	255	0
4	1	0	0	0	255	0
5	1	0	0	0	255	0
6	1	0	0	0	179	0
7	1	0	0	0	0	0
8	1	0	0	0	0	0
9	1	0	0	0	0	0
10	1	0	0	0	0	0
11	1	0	0	0	0	0
12	1	0	0	0	0	0
13	1	0	0	0	0	0
14	1	0	0	0	0	0
15	1	0	0	0	0	0
16	1	0	0	0	0	0
17	1	0	0	0	0	0
18	1	0	0	0	2	0
19	1	0	0	0	190	0
20	1	0	0	0	255	0
21	1	0	0	0	255	0
22	1	0	0	0	255	0
23	1	0	0	0	255	0
24	1	0	0	0	255	0
25	1	0	0	0	255	0
26	1	0	0	0	255	0
27	1	0	0	0	80	0
28	1	0	0	0	46	0
29	1	0	0	0	255	0
30	1	0	0	0	255	0
31	1	0	0	0	255	0
32	1	0	0	0	255	0
33	1	0	0	0	255	0
34	1	0	0	0	255	0
35	1	0	0	0	242	0
36	1	0	0	0	6	0
37	1	0	0	0	0	0
38	1	0	0	0	0	0
39	1	0	0	0	86	0
40	1	0	0	0	244	0
41	1	0	0	0	255	0
42	1	0	0	0	255	0
43	1	0	0	0	255	0
44	1	0	0	0	255	0
45	1	0	0	0	255	0
46	1	0	0	0	255	0
47	1	0	0	0	255	0
48	1	0	0	0	255	0
49	1	0	0	0	255	0
50	1	0	0	0	255	0
51	1	0	0	0	255	0
52	1	0	0	0	255	0
53	1	0	0	0	255	0
54	1	0	0	0	255	0
55	1	0	0	0	255	0
56	1	0	0	0	255	0
57	1	0	0	0	254	0
58	1	0	0	0	26	0
59	1	0	0	0	0	0
60	1	0	0	0	93	0
61	1	0	0	0	255	0
62	1	0	0	0	255	0
63	1	0	0	0	255	0
64	1	0	0	0	255	0
65	1	0	0	0	255	0
66	1	0	0	0	255	0
67	1	0	0	0	255	0
68	1	0	0	0	78	0
69	1	0	0	0	0	0
70	1	0	0	0	85	0
71	1	0	0	0	255	0
72	1	0	0	0	255	0
73	1	0	0	0	255	0
74	1	0	0	0	255	0
75	1	0	0	0	255	0
76	1	0	0	0	255	0
77	1	0	0	0	255	0
78	1	0	0	0	255	0
79	1	0	0	0	255	0
80	1	0	0	0	255	0
81	1	0	0	0	255	0
82	1	0	0	0	255	0
83	1	0	0	0	255	0
84	1	0	0	0	255	0
85	1	0	0	0	255	0
86	1	0	0	0	255	0
87	1	0	0	0	255	0
88	1	0	0	0	255	0
89	1	0	0	0	255	0
90	1	0	0	0	255	0
91	1	0	0	0	211	0
92	1	0	0	0	1	0
93	1	0	0	0	0	0
94	1	0	0	0	0	0
95	1	0	0	0	0	0
96	1	0	0	0	0	0
97	1	0	0	0	0	0
98	1	0	0	0	0	0
99	1	0	0	0	82	0
100	1	0	0	0	255	0
101	1	0	0	0	255	0
102	1	0	0	0	255	0
103	1	0	0	0	255	0
104	1	0	0	0	255	0
105	1	0	0	0	255	0
106	1	0	0	0	255	0
107	1	0	0	0	255	0
108	1	0	0	0	232	0
109	1	0	0	0	0	0
110	1	0	0	0	0	0
111	1	0	0	0	0	0
112	1	0	0	0	0	0
113	1	0	0	0	101	0
114	1	0	0	0	255	0
115	1	0	0	0	255	0
116	1	0	0	0	255	0
117	1	0	0	0	255	0
118	1	0	0	0	255	0
119	1	0	0	0	255	0
120	1	0	0	0	255	0
121	1	0	0	0	255	0
122	1	0	0	0	255	0
123	1	0	0	0	255	0
124	1	0	0	0	255	0
125	1	0	0	0	255	0
126	1	0	0	0	255	0
127	1	0	0	0	255	0
128	1	0	0	0	255	0
129	1	0	0	0	255	0
130	1	0	0	0	255	0
131	1	0	0	0	255	0
132	1	0	0	0	255	0
133	1	0	0	0	215	0
134	1	0	0	0	0	0
135	1	0	0	0	0	0
136	1	0	0	0	0	0
137	1	0	0	0	73	0
138	1	0	0	0	255	0
139	1	0	0	0	255	0
